trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-107.98291686435729,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-9.683073873607313,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-88.20097245179252,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-37.89869919540854,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-76.25608469111174,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-179.98895700115236,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-146.4585716620554,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-72.34827727511343,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-150.43754949253895,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-137.55720014374333,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-140.84799903520064,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,13,-69.79413832905341,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,15,2.8351943745807455,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-181.48258771759615,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-122.10880430720337,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-108.15321890148401,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",30,6,-56.809485430090234,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-29.977164045170422,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-115.50334838334913,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-148.07602281908478,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
