trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-98.5473495796638,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-243.51447667666807,"{0: 7, 1: 3, 2: 4, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-106.22814135596543,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-124.05498452749347,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-254.86346418249872,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 6}",0
6,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-144.92960225541626,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-102.2250962754944,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-130.9693439897569,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.835270211411272}",30,0,-163.72052432599654,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,0,-149.0045471362188,"{0: 16, 1: 1, 2: 12, 3: 0, 4: 1}",0
